accx,accy,accz
-0.0567,-0.0342,1.017
-0.0574,-0.0322,1.0136
-0.0567,-0.0362,1.0175
-0.0584,-0.0386,1.02
-0.0625,-0.0369,1.0185
-0.0647,-0.0354,1.018
-0.0667,-0.0354,1.0207
-0.0677,-0.0359,1.0239
-0.0665,-0.0349,1.0207
-0.0625,-0.0371,1.0232
-0.0625,-0.0357,1.0219
-0.0633,-0.0349,1.0202
-0.0616,-0.0349,1.0207
-0.0618,-0.0342,1.018
-0.0608,-0.0327,1.018
-0.0623,-0.0327,1.0205
-0.0613,-0.0344,1.0195
-0.0625,-0.0359,1.0166
-0.0711,-0.0332,1.0222
-0.0657,-0.0347,1.0251
-0.0552,-0.0362,1.0192
-0.0567,-0.0376,1.0158
-0.0667,-0.0379,1.0214
-0.0694,-0.0354,1.0195
-0.0674,-0.0349,1.0185
-0.0647,-0.0362,1.0227
-0.064,-0.0369,1.0232
-0.0662,-0.0362,1.0222
-0.0657,-0.0354,1.0227
-0.0625,-0.0366,1.0195
-0.0613,-0.0354,1.0161
-0.0616,-0.0347,1.0205
-0.0616,-0.0313,1.019
-0.0625,-0.0305,1.0148
-0.0633,-0.033,1.0217
-0.064,-0.0337,1.0229
-0.0645,-0.0342,1.0205
-0.0657,-0.0322,1.0175
-0.0667,-0.032,1.0178
-0.0669,-0.032,1.0212
-0.0645,-0.0344,1.0251
-0.0638,-0.0325,1.0214
-0.0643,-0.0322,1.0151
-0.0645,-0.0327,1.0166
-0.064,-0.0354,1.0214
-0.0635,-0.0354,1.0217
-0.0645,-0.0349,1.0195
-0.066,-0.033,1.0192
-0.0655,-0.0313,1.018
-0.0667,-0.0315,1.0205
-0.0655,-0.0315,1.0227
-0.0625,-0.034,1.0219
-0.0655,-0.0337,1.019
-0.0728,-0.0308,1.0227
-0.0647,-0.032,1.0222
-0.0574,-0.0318,1.0158
-0.0638,-0.0332,1.021
-0.0677,-0.0352,1.0214
-0.0655,-0.0315,1.0141
-0.0669,-0.0313,1.0197
-0.0662,-0.0325,1.0236
-0.0684,-0.0344,1.02
-0.0684,-0.0342,1.0207
-0.0689,-0.0313,1.0227
-0.0665,-0.0313,1.019
-0.0638,-0.0335,1.0158
-0.064,-0.032,1.0195
-0.066,-0.0303,1.0166
-0.066,-0.0318,1.0195
-0.0647,-0.0349,1.0244
-0.065,-0.0344,1.0222
-0.0655,-0.0318,1.0195
-0.0691,-0.031,1.0217
-0.0694,-0.03,1.0246
-0.0701,-0.0308,1.029
-0.0684,-0.0335,1.0293
-0.0662,-0.033,1.0183
-0.0635,-0.0313,1.0126
-0.0616,-0.032,1.0156
-0.0613,-0.031,1.0217
-0.0613,-0.0327,1.0229
-0.064,-0.0303,1.0224
-0.063,-0.0322,1.0192
-0.0623,-0.0327,1.02
-0.0613,-0.0327,1.02
-0.0618,-0.0325,1.017
-0.0628,-0.033,1.0236
