accx,accy,accz
1.0146,-0.0001,0.1041
1.0087,-0.002,0.1145
1.0131,-0.003,0.1002
1.019,0.0014,0.1086
1.0195,0.0009,0.112
1.0028,-0.0001,0.1135
0.9985,0.0004,0.1052
1.0112,0.0019,0.1041
1.0146,0.0063,0.1022
1.0112,0.0034,0.1105
1.0107,0.0073,0.112
1.0048,0.0053,0.1081
1.0068,-0.0001,0.1007
1.0107,0.0004,0.1017
1.016,0.0009,0.1022
1.019,0.0024,0.1086
1.0092,-0.0015,0.112
1.0141,0.0038,0.1076
1.0126,-0.0005,0.1057
1.0102,0.0009,0.1071
1.0126,-0.0005,0.1105
1.0077,0.0034,0.1091
1.0126,0.0024,0.1086
1.0107,0.0038,0.1076
1.0092,0.0034,0.1041
1.0116,0.0009,0.1062
1.0141,0.0038,0.1071
1.0068,0.0043,0.1027
1.0136,-0.0001,0.1081
1.0165,-0.001,0.1076
1.0082,0.0019,0.1017
1.0199,0.0004,0.1007
1.017,0.0019,0.1096
1.0155,-0.001,0.114
0.9965,0.0019,0.1169
1.0028,0.0029,0.1062
1.017,0.0034,0.1007
1.018,0.0034,0.1022
1.0107,0.0068,0.111
1.0063,0.0058,0.113
1.0019,0.0014,0.112
1.0082,0.0024,0.1032
1.0136,0.0029,0.1101
1.0165,0.0024,0.1101
1.0131,-0.001,0.113
1.0116,0.0009,0.1091
1.0155,0.0009,0.1105
1.0077,0.0068,0.1086
1.0038,0.0034,0.1096
1.0028,0.0029,0.111
1.0077,-0.001,0.1115
1.0077,0.0014,0.1101
1.0107,0.0024,0.1036
1.018,0.0043,0.1007
1.0082,0.0034,0.1052
1.0131,0.0014,0.1115
1.0082,0.0004,0.113
1.0121,0.0019,0.1052
1.0131,0.0053,0.0958
1.0126,0.0029,0.1125
1.0155,0.0038,0.1184
0.9994,0.0034,0.1154
1.0024,0.0024,0.1062
1.0126,0.0019,0.1027
1.0151,0.0068,0.1046
1.0102,0.0102,0.114
1.0063,0.0087,0.1159
1.0063,0.0048,0.1081
1.0136,-0.0005,0.1002
1.0136,-0.0001,0.1066
1.0151,0.0038,0.1071
1.0151,0.0029,0.111
1.0082,-0.0001,0.114
1.0092,0.0009,0.1086
1.0072,0.0009,0.1046
1.0112,0.0082,0.1091
1.0126,0.0053,0.1076
1.0112,0.0048,0.1076
1.0077,0.0053,0.1071
1.0116,0.0053,0.1071
1.0141,0.0048,0.1032
1.0136,0.0058,0.1022
1.0058,0.0043,0.1062
1.0097,0.0058,0.1105
1.0112,0.0004,0.1086
1.0165,0.0058,0.0973
1.017,0.0014,0.112
1.0165,0.0029,0.1135
1.0009,0.0053,0.1101
1.0053,0.0058,0.1017
1.0131,0.0029,0.1022
1.0151,0.0034,0.1052
1.0102,0.0082,0.1071
1.0053,0.0038,0.113
1.0038,0.0009,0.1105
1.0077,0.0073,0.0997
1.0165,0.0024,0.1036
1.0155,0.0043,0.1027
1.0116,0.0038,0.1086
1.0107,0.0034,0.1169
1.0097,0.0029,0.1091
1.0077,0.0048,0.1036
1.0082,0.0019,0.1081
1.0131,0.0019,0.113
1.0116,0.0038,0.1101
1.0072,0.0024,0.1076
1.0112,0.0029,0.1076
1.0087,0.0019,0.1057
1.0136,0.0078,0.1096
1.0082,0.0034,0.1052
1.0077,0.0019,0.1071
1.0121,-0.001,0.1071
1.0077,0.0014,0.0953
1.0165,0.0048,0.1012
1.0209,0.0063,0.1101
1.0063,0.0038,0.1115
0.9994,0.0073,0.1057
1.0097,0.0112,0.1012
1.016,0.0117,0.1057
1.0136,0.0092,0.1105
1.0048,0.0058,0.113
1.0048,0.0058,0.1057
1.0053,0.0029,0.1057
1.0121,0.0029,0.1062
1.018,0.0038,0.1081
1.0151,0.0063,0.1096
1.0097,-0.0001,0.113
1.0077,0.0063,0.1046
1.0087,0.0004,0.1036
1.0131,0.0058,0.1057
1.0077,0.0053,0.1101
1.0092,0.0024,0.1101
1.0087,0.0043,0.111
1.0077,0.0043,0.1052
1.0087,0.0068,0.1101
1.0131,0.0048,0.1041
1.0068,0.0053,0.1057
1.0087,0.0063,0.1081
1.0082,0.0068,0.1101
1.0146,0.0043,0.1007
1.0185,0.0053,0.0973
1.0204,0.0048,0.1135
1.0092,0.0063,0.1086
1.0004,0.0043,0.1096
1.0092,0.0058,0.1002
1.0082,0.0043,0.1007
1.0072,0.0087,0.1105
1.0048,0.0078,0.1169
1.0033,0.0053,0.1179
1.0053,0.0038,0.1101
1.0121,0.0038,0.1007
1.017,0.0009,0.1032
1.0199,0.0019,0.1012
1.0126,0.0053,0.1096
1.0058,0.0078,0.1076
1.0038,-0.0001,0.1062
1.0048,0.0004,0.1091
1.0112,0.0029,0.1105
1.0077,0.0073,0.1125
1.0107,0.0078,0.1096
1.0146,0.0082,0.1101
1.0077,0.0068,0.1105
1.0146,0.0068,0.1071
1.0141,0.0092,0.1086
1.0112,0.0082,0.1076
1.0121,0.0082,0.1022
1.0155,-0.002,0.112
1.0112,0.0048,0.1052
1.0126,0.0004,0.1032
1.0141,0.0019,0.1203
1.0121,-0.0001,0.1145
1.0043,-0.0015,0.114
1.0058,-0.0015,0.1057
1.0131,0.0024,0.1027
1.016,0.0029,0.1101
1.0092,0.0112,0.1169
1.0077,0.0121,0.1232
1.0102,0.0068,0.1154
1.0082,0.0019,0.1036
1.0107,0.0063,0.1096
1.0131,0.0078,0.1052
1.0107,0.0058,0.1154
1.0082,0.0073,0.1193
1.0072,0.0102,0.1145
1.0087,0.0029,0.111
1.0136,0.0092,0.1115
1.0146,0.0024,0.1096
1.0126,0.0048,0.1071
1.0102,0.0048,0.1041
1.0151,0.0048,0.1052
1.0126,0.0068,0.114
1.0155,0.0014,0.113
1.0102,0.0019,0.1086
1.0107,0.0004,0.1115
1.0092,0.0004,0.113
1.0102,0.0019,0.1096
1.0126,0.0073,0.1032
1.0214,0.0068,0.113
1.017,0.0082,0.1125
1.0058,0.0112,0.1145
1.0048,0.0078,0.1086
1.0112,0.0073,0.1002
1.0175,0.0092,0.1032
1.0058,0.0078,0.1086
1.0019,0.0092,0.1154
1.0048,0.0082,0.1149
1.0053,0.0063,0.1091
1.0116,0.0053,0.1036
1.0141,0.0038,0.0997
1.0146,0.0058,0.1041
1.0102,0.0034,0.1101
1.0043,0.0043,0.1086
1.0126,0.0058,0.1091
1.0165,0.0078,0.1135
1.0121,0.0082,0.1149
1.0121,0.0117,0.1125
