accx,accy,accz
1.3757,-0.0826,-0.1972
0.8956,-0.0325,0.0103
0.6093,-0.1498,0.1678
0.5196,-0.1676,0.1776
0.913,0.0235,0.0498
1.0847,0.1661,-0.0208
1.0764,0.2641,0.0647
0.8243,0.214,0.1121
0.6999,0.0774,0.1356
0.7187,-0.0472,0.1173
0.7828,-0.1116,0.1231
0.89,-0.1329,0.1632
1.0317,-0.0963,0.1876
1.0437,-0.0674,0.1957
1.0097,-0.0481,0.2575
0.9792,-0.0662,0.3181
0.9017,-0.1011,0.3213
0.8067,-0.1331,0.3389
0.7989,-0.1375,0.3833
0.8915,-0.0919,0.3799
0.9679,-0.0313,0.3704
1.0542,-0.0007,0.356
1.1175,0.0381,0.3464
1.0302,0.0406,0.3904
0.869,-0.0601,0.4507
0.8355,-0.1415,0.5192
0.8993,-0.0796,0.5551
0.9753,0.0169,0.5363
1.092,0.0208,0.2463
1.307,-0.0845,-0.053
1.598,-0.2079,-0.1461
1.4485,-0.2736,-0.3491
1.1189,-0.1837,-0.3401
0.8153,-0.0376,-0.1471
0.6389,0.1244,0.0408
0.8468,0.0269,0.1515
1.0268,-0.1041,0.1393
1.0007,-0.2011,0.054
0.9379,-0.2431,0.0388
0.9582,-0.1483,0.1231
0.9078,-0.0581,0.1862
0.8578,0.01,0.2546
0.8675,0.0235,0.2599
0.9059,-0.002,0.2333
0.9303,-0.0303,0.1981
0.9274,-0.0811,0.1739
0.9291,-0.0359,0.258
0.8797,-0.0105,0.3147
0.8255,-0.0103,0.3051
0.825,-0.0325,0.3296
0.9394,-0.0281,0.3359
1.0901,0.0076,0.2709
1.0933,0.0264,0.1564
1.0151,-0.0232,0.1639
1.029,-0.0469,0.3288
1.0349,-0.0376,0.4363
0.9687,-0.0748,0.4539
0.9706,-0.1517,0.4674
1.3022,-0.1283,0.2954
1.6896,-0.0679,0.045
1.6889,0.0391,-0.2966
1.0911,0.0843,-0.2963
0.6613,0.0831,0.098
0.4322,-0.0577,0.2553
0.7451,-0.0435,0.1981
1.0073,-0.0647,0.0117
1.0715,0.0171,-0.02
1.0583,0.1361,0.0171
