accx,accy,accz
1.3185,0.2638,0.2136
1.0268,0.1187,0.005
0.8734,0.04,-0.0068
0.7625,-0.0289,0.1296
0.6374,-0.0665,0.219
0.5127,-0.0797,0.1706
0.4766,-0.0382,0.0636
0.5489,0.0136,-0.0507
0.7243,0.1157,0.0035
0.8357,0.1353,0.0646
0.8347,0.1582,0.1174
0.739,0.1646,0.156
0.6198,0.1094,0.1853
0.5948,0.0566,0.2263
0.6882,0.1397,0.2469
0.7688,0.2902,0.2766
0.7918,0.3214,0.1691
0.8529,0.255,-0.0844
1.0258,0.2335,-0.297
1.2745,0.0952,-0.4802
1.468,-0.2463,-0.5921
1.4778,-0.4203,-0.4314
1.3673,-0.517,-0.1245
1.3439,-0.0968,0.2473
1.6,0.2501,0.2928
1.6639,0.4094,0.0074
1.7436,0.3855,-0.0683
1.3918,0.0786,0.0455
1.0723,-0.1369,0.2845
0.8469,-0.2434,0.3294
0.7272,-0.2487,0.2033
0.6334,-0.1383,0.0016
0.6418,-0.0049,-0.1724
0.7058,0.0923,-0.1005
0.6481,0.1006,0.0553
0.6643,0.0718,0.1906
0.5934,0.0224,0.1477
0.5079,-0.0499,0.0695
0.4454,-0.1618,0.0783
0.502,-0.2928,0.2439
0.6696,-0.2976,0.3319
0.9051,-0.2214,0.1721
1.1304,-0.1779,-0.2428
1.5926,-0.1525,-0.6698
1.7651,-0.0523,-0.7749
2.0856,0.1622,-0.4807
1.8105,0.4021,-0.4275
1.3698,0.4617,-0.3791
1.4441,0.3782,0.0094
1.641,0.3146,0.5347
1.4162,0.4436,0.4321
1.1294,0.3913,-0.0444
0.9291,0.1661,-0.1123
0.7419,-0.0259,0.2986
0.6423,-0.1608,0.4477
0.568,-0.2199,0.2278
0.568,-0.0934,-0.0703
0.5509,-0.0225,-0.146
0.6535,-0.0123,0.1721
0.7659,0.0434,0.4086
0.8866,0.1172,0.3103
0.954,0.1514,0.1408
0.8773,0.191,0.2293
0.8303,0.2188,0.455
0.8137,0.1617,0.5332
0.8553,0.0488,0.2893
1.0674,-0.1159,0.0841
