accx,accy,accz
0.7402,-0.0364,0.0222
0.8104,-0.1187,0.0594
0.8712,-0.1036,0.0953
0.8993,-0.0894,0.0909
0.9069,-0.0733,0.1024
0.9528,-0.0371,0.0779
1.0749,-0.0107,0.1146
1.2215,-0.0161,0.1935
1.2758,-0.0657,0.2597
1.2269,-0.0806,0.2722
1.1785,-0.0809,0.1454
1.0691,-0.074,-0.0254
1.2797,-0.1849,0.0381
1.5323,-0.2399,0.0828
1.6369,-0.2143,-0.1796
1.2853,-0.108,-0.2138
0.9161,-0.0347,-0.1659
0.74,0.0081,-0.1542
0.7224,0.0413,-0.0887
0.8705,-0.0051,-0.0403
0.9977,-0.0792,0.0264
1.0591,-0.1146,0.0401
1.0373,-0.0941,0.0173
0.9249,-0.0454,0.0137
0.8055,-0.0015,0.0144
0.6863,-0.0103,0.0432
0.6301,-0.0442,0.0762
0.6948,-0.1192,0.0428
0.7527,-0.1688,-0.0296
0.7598,-0.1549,-0.0503
0.7745,-0.1283,-0.053
0.824,-0.076,-0.0388
0.9203,-0.0159,-0.0239
1.0109,-0.0357,-0.0283
1.0354,-0.148,0.0398
1.0718,-0.2446,0.1148
1.1717,-0.29,0.1412
1.2359,-0.3005,0.1534
1.1492,-0.2846,0.1669
1.05,-0.2074,0.1805
1.0706,-0.1124,0.095
1.1331,-0.0931,-0.0806
1.253,-0.1417,-0.2617
1.5692,-0.2487,-0.2988
1.5831,-0.2477,-0.2673
1.1485,-0.1571,-0.2692
0.8499,-0.0384,-0.2768
0.7424,0.0611,-0.213
0.8082,0.0567,-0.0611
0.8973,0.0044,0.065
1.0009,-0.0923,0.1173
1.0214,-0.1986,0.0972
0.9902,-0.2934,0.0745
0.8939,-0.2988,0.0337
0.7938,-0.1796,0.0232
0.7329,-0.0066,-0.0024
0.6726,0.0965,-0.0428
0.6015,0.0904,-0.0525
0.5924,-0.01,-0.0088
0.6044,-0.1258,0.0577
0.6682,-0.1598,0.0667
0.7788,-0.0855,0.0371
0.902,-0.0567,0.0252
1.0918,-0.0792,0.1004
1.2885,-0.1366,0.1808
1.3261,-0.2431,0.1906
1.1392,-0.3005,0.193
1.1155,-0.1967,0.1974
1.1346,-0.0889,0.2233
1.1285,-0.0391,0.1627
1.2152,-0.0068,0.0567
1.4243,-0.0459,-0.074
1.5943,-0.106,-0.1676
1.6005,-0.1847,-0.1852
1.2592,-0.1561,-0.1695
0.922,0.0437,-0.1336
0.7701,0.1678,-0.2226
0.7603,0.1884,-0.3166
0.9091,0.0591,-0.2785
0.9814,-0.192,-0.1612
1.0767,-0.3254,0.0137
1.03,-0.2555,0.0645
0.8714,-0.1361,0.011
0.7214,-0.0225,0.0166
0.6179,0.0183,0.0557
0.5927,-0.0061,0.0616
0.6613,-0.0689,-0.0186
0.7542,-0.1549,-0.0545
0.8495,-0.2343,-0.032
0.9149,-0.2565,0.0076
0.9027,-0.1972,0.0122
0.8541,-0.1055,0.0381
0.8546,-0.0855,0.085
0.889,-0.098,0.1092
0.9464,-0.127,0.0625
1.0051,-0.2304,0.0611
1.0158,-0.2961,0.0799
0.9797,-0.3249,0.0941
0.9311,-0.3608,0.1661
0.8277,-0.3125,0.2314
0.751,-0.2541,0.2433
0.8189,-0.3103,0.2487
0.9931,-0.3384,0.2265
1.0564,-0.364,0.2279
1.0757,-0.4117,0.2209
1.1426,-0.42,0.2221
1.2394,-0.3738,0.2785
1.1468,-0.3271,0.3152
0.9633,-0.2753,0.2885
1.0598,-0.0989,0.2279
1.1634,0.0657,0.4498
1.438,0.2038,0.4432
1.5946,0.2255,0.0572
1.3427,0.0694,-0.1588
1.0588,0.0635,-0.1818
1.0117,0.1761,-0.2785
1.0964,0.2558,-0.216
1.0525,0.2279,0.0308
0.9406,0.1229,0.1749
0.8475,0.0457,0.1136
0.8104,0.0274,0.0015
0.8719,0.0806,-0.0129
0.9208,0.1842,-0.0054
0.9271,0.2766,0.0418
0.9284,0.2988,0.0933
0.8758,0.2155,0.0662
0.8771,0.1273,-0.0213
0.924,0.054,-0.0782
0.9357,0.0349,-0.0845
0.8482,0.0643,-0.0557
0.8245,0.1156,-0.0068
0.8233,0.0919,-0.0203
0.8751,0.0227,-0.0198
0.8859,-0.0498,0.0164
0.8695,-0.0948,0.0858
0.8414,-0.1417,0.1258
0.9034,-0.1705,0.1791
0.9894,-0.1126,0.2201
0.9846,-0.032,0.2018
0.9306,0.0059,0.191
0.9201,0.0076,0.1986
0.9245,-0.0701,0.2404
0.956,-0.0662,0.3647
0.899,0.0501,0.4495
0.8568,0.1087,0.388
0.9098,0.0625,0.3291
1.0491,-0.0154,0.3186
1.2157,-0.0845,0.3635
1.3205,-0.0271,0.4121
1.3261,0.073,0.4371
1.1886,0.0926,0.4642
1.0373,0.0916,0.5455
0.816,0.1329,0.0723
0.9973,0.3088,-0.1642
1.4162,0.3635,-0.1175
1.7363,0.2568,0.0972
1.3874,0.1713,-0.0291
1.0986,0.2047,-0.2768
0.945,0.2179,-0.4307
0.8458,0.1168,-0.3227
0.8854,-0.0132,-0.0655
1.009,-0.0806,0.0322
1.126,0.032,-0.0296
1.1475,0.1681,-0.074
1.0835,0.194,-0.0286
0.9719,0.1358,0.0105
0.8793,0.0322,0.0625
0.8358,-0.0535,0.1461
0.8341,-0.0513,0.1871
0.8766,-0.0325,0.2064
0.9425,0.0342,0.1515
0.999,0.0955,0.1644
0.9787,0.1114,0.1786
0.8876,0.095,0.1287
0.8248,0.0643,0.1046
0.7781,0.0051,0.1305
0.763,-0.0645,0.1876
0.7901,-0.1349,0.237
0.8751,-0.1678,0.2177
0.9538,-0.149,0.1874
1.0012,-0.0901,0.1429
1.0122,0.0122,0.1055
1.0532,0.0752,0.1512
1.096,0.0322,0.2489
1.135,-0.0423,0.195
1.2066,-0.1138,0.0921
1.2306,-0.1568,-0.0508
1.4531,-0.2006,-0.0203
1.6369,-0.1608,-0.0823
1.5406,-0.1378,-0.2446
1.2035,-0.1131,-0.2301
0.8656,-0.0919,-0.2216
0.6411,-0.0286,-0.206
0.6506,0.041,-0.095
0.9599,0.0066,-0.0992
1.083,-0.023,-0.084
1.0671,-0.0562,-0.0452
1.0454,-0.0936,-0.0259
1.0053,-0.0887,-0.0149
0.8841,-0.0853,0.0376
0.7144,-0.0823,0.0694
0.5851,-0.0696,0.0633
0.5446,-0.0743,0.0496
0.6591,-0.0564,0.0643
0.7835,-0.0467,0.0442
0.8025,-0.0535,0.044
0.7691,-0.0755,0.0486
0.7615,-0.0826,0.0667
0.8419,-0.0792,0.0447
0.9621,-0.0643,0.0362
1.1248,-0.0498,0.0217
1.2648,-0.0684,0.0462
