accx,accy,accz
-0.0567,-0.0342,1.017
-0.0574,-0.0337,1.017
-0.0581,-0.0332,1.0163
-0.0586,-0.033,1.0163
-0.0581,-0.0325,1.0161
-0.0581,-0.0325,1.0156
-0.0589,-0.0325,1.0153
-0.0581,-0.032,1.0148
-0.0572,-0.0322,1.0144
-0.0572,-0.032,1.0139
-0.0574,-0.0322,1.0136
-0.0574,-0.033,1.0136
-0.0579,-0.0332,1.0139
-0.0589,-0.0335,1.0141
-0.0584,-0.0332,1.0141
-0.0572,-0.033,1.0151
-0.0569,-0.033,1.0158
-0.0572,-0.033,1.0161
-0.0567,-0.0335,1.0156
-0.0564,-0.0344,1.0163
-0.0567,-0.0362,1.0175
-0.0569,-0.0366,1.0175
-0.0569,-0.0357,1.0168
-0.0574,-0.0362,1.0168
-0.0569,-0.0369,1.0183
-0.0569,-0.0374,1.019
-0.0574,-0.0376,1.019
-0.0579,-0.0386,1.0197
-0.0591,-0.0388,1.0202
-0.0591,-0.0384,1.0202
-0.0584,-0.0386,1.02
-0.0584,-0.0386,1.0197
-0.0599,-0.0384,1.0197
-0.0599,-0.0381,1.0192
-0.0584,-0.0379,1.019
-0.0581,-0.0374,1.0195
-0.0589,-0.0369,1.0197
-0.0599,-0.0369,1.019
-0.0606,-0.0371,1.019
-0.0616,-0.0369,1.019
-0.0625,-0.0369,1.0185
-0.0625,-0.0374,1.0188
-0.0625,-0.0371,1.0185
-0.0625,-0.0364,1.0183
-0.0625,-0.0359,1.018
-0.0633,-0.0359,1.0183
-0.0643,-0.0354,1.019
-0.065,-0.0349,1.019
-0.0647,-0.0349,1.0188
-0.0645,-0.0354,1.018
-0.0647,-0.0354,1.018
-0.0655,-0.034,1.0185
-0.066,-0.0337,1.019
-0.0662,-0.0344,1.0185
-0.0662,-0.0347,1.0178
-0.0665,-0.0344,1.0183
-0.0665,-0.034,1.0197
-0.066,-0.0344,1.0202
-0.066,-0.0354,1.0202
-0.0669,-0.0357,1.0205
-0.0667,-0.0354,1.0207
-0.0665,-0.0349,1.0219
-0.0672,-0.0347,1.0214
-0.0674,-0.0347,1.0219
-0.0677,-0.0352,1.0229
-0.0677,-0.0364,1.0229
-0.0674,-0.0366,1.0227
-0.0682,-0.0366,1.0234
