accx,accy,accz
0.9662,-0.0327,0.2529
0.966,-0.0335,0.2533
0.966,-0.0342,0.2541
0.966,-0.0342,0.2546
0.967,-0.0344,0.2548
0.9677,-0.0352,0.2548
0.9679,-0.0364,0.2543
0.9679,-0.0374,0.2538
0.9687,-0.0386,0.2533
0.9699,-0.0393,0.2526
0.9711,-0.0396,0.2524
0.9716,-0.0401,0.2521
0.9714,-0.0418,0.2509
0.9711,-0.0425,0.2502
0.9719,-0.043,0.2504
0.9726,-0.0442,0.2502
0.9726,-0.0445,0.2497
0.9736,-0.045,0.2487
0.974,-0.0452,0.2482
0.974,-0.0447,0.248
0.975,-0.0459,0.2477
0.9762,-0.0462,0.248
0.9762,-0.0459,0.2485
0.9755,-0.0462,0.2482
0.9755,-0.0462,0.247
0.9762,-0.0454,0.2477
0.976,-0.0454,0.248
0.9755,-0.0452,0.2467
0.9748,-0.0452,0.2467
0.9738,-0.0445,0.2475
0.9736,-0.0435,0.248
0.9736,-0.0435,0.2489
0.9726,-0.0432,0.2489
0.9719,-0.0428,0.2489
0.9716,-0.0415,0.2494
0.9706,-0.041,0.2499
0.9699,-0.0413,0.2497
0.9699,-0.041,0.2499
0.9701,-0.041,0.2509
0.9697,-0.041,0.2521
0.9699,-0.041,0.2526
0.9709,-0.0413,0.2533
0.9716,-0.0418,0.2548
0.9723,-0.041,0.2565
0.9721,-0.0403,0.258
0.9721,-0.0403,0.2592
0.9716,-0.0406,0.2599
0.9719,-0.041,0.2599
0.9719,-0.0415,0.2607
0.9706,-0.0415,0.2619
0.9709,-0.0423,0.2621
0.9714,-0.043,0.2631
0.9714,-0.0428,0.2636
0.9711,-0.0428,0.2643
0.9706,-0.0432,0.2651
0.9699,-0.044,0.266
0.9701,-0.0447,0.2675
0.9692,-0.0447,0.2685
0.9679,-0.045,0.2692
0.9677,-0.0457,0.269
0.9672,-0.0462,0.2697
0.9655,-0.0467,0.2702
0.9638,-0.0474,0.2702
0.9626,-0.0479,0.2702
0.9623,-0.0476,0.27
0.9616,-0.0474,0.27
0.9604,-0.0484,0.2702
0.9596,-0.0491,0.27
0.9584,-0.0489,0.27
0.9577,-0.0481,0.27
0.9572,-0.0481,0.2697
0.9569,-0.0476,0.2697
0.9567,-0.0472,0.2702
0.9567,-0.0464,0.27
0.9562,-0.0457,0.2695
0.9565,-0.0445,0.2692
0.9565,-0.044,0.269
0.956,-0.0447,0.2692
0.9562,-0.0454,0.27
0.9569,-0.0452,0.2697
0.9582,-0.0445,0.2692
0.9591,-0.044,0.269
0.9606,-0.0435,0.269
0.9623,-0.044,0.2682
0.9626,-0.0447,0.2682
0.9635,-0.0454,0.2687
0.9638,-0.045,0.2687
0.9645,-0.0442,0.269
0.966,-0.0442,0.2687
