accx,accy,accz
1.1619,0.055,0.3528
1.1521,0.0584,0.353
1.1473,0.0638,0.3564
1.1487,0.0633,0.355
1.1536,0.0613,0.3557
1.1641,0.0608,0.352
1.1861,0.0618,0.3491
1.2201,0.0618,0.3476
1.267,0.0586,0.3364
1.2921,0.0467,0.3193
1.3075,0.0357,0.2956
1.3151,0.023,0.266
1.3105,0.0107,0.2235
1.3024,-0.0007,0.1871
1.2953,-0.0076,0.151
1.2836,-0.0125,0.1153
1.2782,-0.0169,0.088
1.2596,-0.022,0.0716
1.2443,-0.0266,0.0718
1.2193,-0.0308,0.0779
1.1878,-0.0335,0.0943
1.1429,-0.0381,0.116
1.1048,-0.0428,0.1312
1.0627,-0.0445,0.1434
1.0185,-0.0476,0.1485
0.9777,-0.0474,0.15
0.9394,-0.0491,0.1351
0.9127,-0.054,0.1114
0.8883,-0.0579,0.0823
0.8644,-0.0665,0.0479
0.8453,-0.0718,0.0076
0.8392,-0.0806,-0.0169
0.8353,-0.0897,-0.0381
0.837,-0.1007,-0.0535
0.8382,-0.1134,-0.0687
0.8375,-0.1314,-0.0799
0.8336,-0.1461,-0.0882
0.828,-0.1688,-0.0972
0.8297,-0.1884,-0.0997
0.8446,-0.226,-0.1026
0.849,-0.2519,-0.0909
0.8578,-0.27,-0.0796
0.8736,-0.2844,-0.0645
0.9027,-0.2927,-0.043
0.9247,-0.2941,-0.0237
0.9469,-0.2878,-0.0046
0.9692,-0.2766,0.0103
0.9943,-0.2587,0.02
1.0278,-0.2289,0.0235
1.0569,-0.2033,0.0235
1.0845,-0.1717,0.0183
1.1155,-0.1397,0.0088
1.146,-0.0955,-0.0117
1.159,-0.0682,-0.0386
1.1695,-0.0425,-0.0696
1.1741,-0.0203,-0.0967
1.1656,-0.001,-0.1234
1.1561,0.0078,-0.1307
1.1407,0.009,-0.1275
1.1121,0.0022,-0.1087
1.0774,-0.0032,-0.0748
1.0241,-0.0239,-0.0147
0.9877,-0.0501,0.0432
0.9494,-0.0787,0.0992
0.9108,-0.1016,0.1463
0.8751,-0.1187,0.1862
0.8565,-0.1287,0.2038
0.8419,-0.1334,0.2113
0.8302,-0.1375,0.2106
0.8267,-0.1361,0.1991
0.827,-0.129,0.1918
0.8238,-0.1251,0.1754
0.8216,-0.1224,0.1576
0.8199,-0.1222,0.1395
0.8174,-0.1197,0.1116
0.8233,-0.1148,0.0936
0.8292,-0.1134,0.0767
0.8358,-0.1143,0.063
0.848,-0.117,0.0523
0.8614,-0.1217,0.0489
0.8717,-0.1246,0.0528
0.8849,-0.1253,0.0611
0.8956,-0.1268,0.0679
0.9061,-0.1292,0.0806
0.9147,-0.13,0.097
0.9161,-0.1292,0.1104
0.9215,-0.1312,0.1324
0.9257,-0.1371,0.1507
0.9252,-0.1427,0.162
0.9215,-0.1485,0.1686
0.9164,-0.1527,0.1708
0.9093,-0.1556,0.1673
0.9027,-0.1622,0.1649
0.8942,-0.1666,0.1593
0.8917,-0.1688,0.1581
0.8883,-0.171,0.1566
0.881,-0.1776,0.1529
0.879,-0.1825,0.1522
0.879,-0.1867,0.1515
0.8768,-0.1864,0.1605
0.8753,-0.1862,0.1717
0.8744,-0.181,0.1818
0.8736,-0.1759,0.1871
0.8749,-0.1698,0.1918
0.8766,-0.1671,0.1932
0.8758,-0.1637,0.1937
0.8763,-0.1639,0.1942
0.8815,-0.1671,0.2023
0.8922,-0.1671,0.2086
0.9108,-0.1713,0.2199
0.9289,-0.1739,0.2318
0.9489,-0.1725,0.2409
0.9701,-0.173,0.2485
0.9868,-0.1722,0.2524
1.0026,-0.1749,0.2482
1.017,-0.1774,0.2431
1.0268,-0.1803,0.2296
1.0317,-0.1871,0.2231
1.0341,-0.1967,0.2206
1.0354,-0.1998,0.2289
1.0361,-0.1998,0.2375
1.0359,-0.1925,0.247
1.0285,-0.1808,0.258
1.0258,-0.172,0.2621
1.0219,-0.1622,0.2617
1.0185,-0.1551,0.2541
1.017,-0.1517,0.2411
1.0144,-0.1459,0.2316
1.0131,-0.15,0.2228
1.0185,-0.1507,0.2209
1.03,-0.1559,0.224
1.0405,-0.1647,0.2338
1.0493,-0.1717,0.247
1.0593,-0.1764,0.2631
1.0674,-0.1818,0.2792
1.0779,-0.1857,0.2976
1.0859,-0.1815,0.3061
1.0969,-0.1766,0.3115
1.1045,-0.1681,0.3088
1.1138,-0.1612,0.2941
1.1294,-0.16,0.2761
1.1438,-0.1715,0.2673
1.1646,-0.1783,0.267
1.1944,-0.181,0.2646
1.2455,-0.1823,0.257
1.2868,-0.1864,0.2424
1.3283,-0.1947,0.2213
1.3535,-0.1998,0.1923
1.3625,-0.2094,0.16
1.3517,-0.2326,0.1402
1.3276,-0.2592,0.1182
1.2899,-0.2873,0.098
1.2462,-0.3137,0.0757
1.1827,-0.3354,0.0432
1.1336,-0.3447,0.0129
1.0801,-0.3454,-0.0137
1.0371,-0.3418,-0.033
0.9736,-0.3325,-0.0674
0.9259,-0.3301,-0.0916
0.8866,-0.3384,-0.1231
0.8473,-0.3305,-0.1595
0.8179,-0.3088,-0.2052
0.805,-0.2685,-0.2314
0.8043,-0.2309,-0.2502
0.8172,-0.1967,-0.2592
0.8333,-0.1581,-0.2614
0.8724,-0.1094,-0.2482
0.9078,-0.0721,-0.2304
0.9433,-0.0393,-0.2108
0.9758,-0.0134,-0.1923
1.007,0.01,-0.1642
1.0263,0.0176,-0.1422
1.0388,0.0213,-0.1165
1.0525,0.0176,-0.0904
1.0637,0.0066,-0.0567
1.0723,-0.0173,-0.0149
1.0764,-0.0472,0.0242
1.0852,-0.0831,0.065
1.0945,-0.1185,0.109
1.1067,-0.173,0.1625
1.1133,-0.2209,0.2035
1.1126,-0.268,0.2336
1.1128,-0.3061,0.2526
1.1138,-0.3323,0.2575
1.1118,-0.3494,0.2524
1.1067,-0.352,0.2304
1.0913,-0.3506,0.1947
1.0762,-0.3418,0.1532
1.0498,-0.3208,0.0977
1.0241,-0.3017,0.0557
0.9999,-0.2832,0.0188
0.9758,-0.2641,-0.0042
0.9504,-0.2362,-0.0183
0.9289,-0.2172,-0.0183
0.9049,-0.1986,-0.0088
0.8856,-0.1837,0.01
0.867,-0.1688,0.0408
0.8565,-0.1551,0.0684
0.8468,-0.1434,0.0928
0.838,-0.1309,0.1153
0.8346,-0.1156,0.1346
0.8277,-0.1016,0.1561
0.827,-0.0901,0.1666
0.8216,-0.0804,0.1725
0.8138,-0.073,0.172
0.8079,-0.0652,0.1598
0.7889,-0.0542,0.1463
0.7769,-0.0464,0.1251
0.7644,-0.0362,0.1038
0.7552,-0.0313,0.0875
0.741,-0.0225,0.0679
0.7398,-0.0159,0.0623
0.7481,-0.0064,0.0638
0.7637,0.0005,0.0738
0.7886,0.0137,0.0938
0.8099,0.0193,0.1102
0.8372,0.0247,0.1302
0.8619,0.0276,0.151
0.8819,0.0276,0.1754
0.8981,0.0279,0.1874
0.9147,0.0237,0.1923
0.9403,0.0173,0.1994
0.9545,0.0083,0.2055
0.9594,-0.0083,0.203
0.9577,-0.0254,0.1974
0.9472,-0.0428,0.1908
0.9369,-0.0608,0.1888
0.9257,-0.085,0.1923
0.9203,-0.0992,0.2018
0.9125,-0.1114,0.2165
0.9139,-0.1226,0.2331
0.9098,-0.1307,0.2467
0.9135,-0.1361,0.2531
0.913,-0.1346,0.2568
0.9311,-0.1356,0.2507
0.9504,-0.1305,0.2421
0.9745,-0.1283,0.2321
0.9955,-0.1234,0.2272
1.0156,-0.1163,0.2248
1.0349,-0.107,0.2233
1.0515,-0.1019,0.2267
1.0701,-0.0921,0.2314
1.0825,-0.0816,0.2355
1.0908,-0.0726,0.2399
1.1001,-0.0623,0.2458
1.1074,-0.0506,0.2511
1.1106,-0.0437,0.2519
1.1096,-0.0376,0.2492
1.1035,-0.032,0.2409
1.0996,-0.03,0.2311
1.0925,-0.0283,0.2245
1.0845,-0.0274,0.213
1.0825,-0.0325,0.2099
1.0852,-0.0413,0.2138
1.0869,-0.0596,0.234
1.0894,-0.0777,0.2617
1.0923,-0.098,0.2929
1.0896,-0.1222,0.3257
1.0974,-0.1524,0.374
1.1148,-0.1722,0.4124
1.1338,-0.1871,0.4544
1.1592,-0.1964,0.5016
1.1768,-0.2038,0.5541
1.1947,-0.2089,0.5863
1.1986,-0.2113,0.6076
1.1944,-0.2113,0.6103
1.1912,-0.2086,0.5944
1.178,-0.1862,0.5414
1.1851,-0.1639,0.4876
1.2218,-0.1463,0.4278
1.2731,-0.1383,0.3564
1.309,-0.15,0.2621
1.3207,-0.1583,0.1913
1.3307,-0.1566,0.1309
1.3334,-0.1417,0.0794
1.33,-0.12,0.0117
1.3332,-0.0862,-0.0577
1.3359,-0.053,-0.1334
1.3222,-0.0176,-0.2138
1.2943,0.009,-0.2883
1.2355,0.0305,-0.3691
1.1768,0.0388,-0.4234
1.1201,0.0454,-0.4617
1.0701,0.0584,-0.4825
1.0195,0.0794,-0.4876
0.9882,0.0941,-0.474
0.9682,0.1092,-0.463
0.9467,0.1094,-0.4498
0.9164,0.0938,-0.4378
0.8783,0.0535,-0.4185
0.8482,0.0171,-0.3955
0.8294,-0.0222,-0.3728
0.8162,-0.0662,-0.3413
0.8045,-0.1229,-0.2961
0.8035,-0.1695,-0.2475
0.8057,-0.2152,-0.1937
0.8155,-0.2609,-0.1253
0.8221,-0.2937,-0.032
0.8443,-0.3254,0.0498
0.8719,-0.3442,0.1361
0.9078,-0.3555,0.215
0.9423,-0.354,0.2758
0.9714,-0.3371,0.3181
0.9914,-0.3181,0.321
1.0012,-0.2905,0.2988
1.0065,-0.2609,0.257
1.0219,-0.2162,0.1903
1.0339,-0.1717,0.1383
1.0434,-0.1302,0.0809
1.0473,-0.0904,0.0291
1.0388,-0.0547,-0.0242
1.0136,-0.0235,-0.0606
0.989,-0.0037,-0.0877
0.9653,0.0073,-0.1094
0.9467,0.0137,-0.1178
0.9313,0.0176,-0.1109
0.9186,0.0147,-0.0933
0.9096,0.0068,-0.0682
0.8983,-0.0086,-0.041
0.8961,-0.0213,-0.0017
0.8937,-0.0364,0.0235
0.8983,-0.0503,0.0484
0.9061,-0.065,0.0635
0.9069,-0.0787,0.0696
0.911,-0.0936,0.0757
0.9122,-0.108,0.0814
0.9269,-0.1256,0.0784
0.9225,-0.1366,0.0777
0.9161,-0.1505,0.0796
0.9096,-0.1612,0.0872
0.8983,-0.1725,0.0945
0.8868,-0.1803,0.1009
0.867,-0.1864,0.1153
0.8426,-0.1913,0.1285
0.8184,-0.1906,0.1397
0.7962,-0.1908,0.1478
0.7776,-0.1867,0.1505
0.7556,-0.1835,0.1507
0.7459,-0.1769,0.1424
0.7437,-0.1717,0.1329
0.7537,-0.1654,0.127
0.7688,-0.16,0.1273
0.7945,-0.1583,0.1346
0.804,-0.1622,0.1471
0.835,-0.1664,0.1625
0.8639,-0.1703,0.1842
0.8822,-0.1766,0.2016
0.8966,-0.1837,0.2306
0.9078,-0.1871,0.2546
0.9205,-0.1886,0.2819
0.9357,-0.1879,0.309
0.9428,-0.191,0.3257
0.9479,-0.191,0.3398
0.9528,-0.1923,0.3491
0.9569,-0.1954,0.3538
0.9621,-0.2038,0.3567
0.9611,-0.2086,0.3481
0.964,-0.2187,0.3459
0.9635,-0.227,0.3408
0.986,-0.2365,0.3459
1.0175,-0.2416,0.3491
1.0398,-0.2487,0.3447
1.0598,-0.2526,0.3396
1.042,-0.2428,0.3152
1.0376,-0.2306,0.3003
1.0547,-0.2072,0.2902
1.0862,-0.173,0.2792
1.1074,-0.1454,0.2524
1.1214,-0.1165,0.2216
1.1162,-0.1082,0.1913
1.1065,-0.1033,0.17
1.0979,-0.107,0.1634
1.0828,-0.1224,0.1805
1.0757,-0.1412,0.2182
1.0696,-0.16,0.2687
1.0532,-0.1813,0.32
1.0432,-0.206,0.3743
1.0432,-0.2279,0.3985
1.0476,-0.2382,0.3992
1.0669,-0.2555,0.3762
1.1008,-0.2739,0.3315
1.1341,-0.2785,0.2875
1.1729,-0.2687,0.2497
1.2206,-0.2636,0.215
1.2577,-0.2604,0.1798
1.2943,-0.2582,0.1329
1.3175,-0.2614,0.1007
1.3324,-0.259,0.0699
1.3386,-0.2531,0.041
1.3251,-0.2433,-0.0002
1.3004,-0.2345,-0.0386
1.2638,-0.2145,-0.088
1.2157,-0.1962,-0.1454
1.1749,-0.1757,-0.2084
1.1341,-0.1498,-0.2893
1.0969,-0.1266,-0.3577
1.0625,-0.1097,-0.4102
1.0359,-0.0899,-0.441
1.0083,-0.0669,-0.4544
0.9887,-0.0476,-0.4329
0.9863,-0.0479,-0.3894
1.0126,-0.0625,-0.3242
1.0385,-0.065,-0.2143
1.0432,-0.0694,-0.1209
1.0454,-0.0853,-0.0279
1.0495,-0.1065,0.0525
1.0515,-0.1217,0.1219
1.0542,-0.128,0.1818
1.0574,-0.1371,0.2135
1.0647,-0.1463,0.2343
1.0701,-0.1551,0.2416
1.0647,-0.1744,0.2404
1.0561,-0.1957,0.2331
1.0483,-0.2155,0.2245
1.0373,-0.2353,0.2138
1.0263,-0.2509,0.2028
1.0129,-0.2687,0.1881
0.9953,-0.2817,0.171
0.9816,-0.2927,0.148
0.966,-0.3007,0.1356
0.9472,-0.3073,0.1214
0.9308,-0.3064,0.1178
0.9174,-0.3056,0.1231
0.9059,-0.3034,0.1297
0.891,-0.2961,0.1424
0.8778,-0.2861,0.1551
0.8629,-0.2746,0.1659
0.8524,-0.2626,0.1757
0.8421,-0.2502,0.1852
0.8316,-0.2353,0.1918
0.8196,-0.2248,0.1989
