accx,accy,accz
1.3185,0.2638,0.2136
1.2676,0.2462,0.1784
1.2208,0.232,0.1496
1.1768,0.2115,0.1174
1.1411,0.1925,0.0861
1.1025,0.1705,0.0641
1.0742,0.1528,0.0416
1.0497,0.1362,0.0201
1.0268,0.1187,0.005
1.0019,0.1069,-0.0068
0.9779,0.0923,-0.0165
0.9565,0.0816,-0.0248
0.933,0.0698,-0.0327
0.9178,0.063,-0.0302
0.8998,0.0512,-0.0244
0.8841,0.039,-0.0175
0.8734,0.04,-0.0068
0.8617,0.0292,0.0026
0.8504,0.0195,0.0128
0.8343,0.0092,0.028
0.8196,0.0058,0.0416
0.804,-0.0015,0.0636
0.7869,-0.0079,0.0812
0.7717,-0.0176,0.1041
0.7625,-0.0289,0.1296
0.7459,-0.0347,0.1472
0.7282,-0.0406,0.1633
0.7121,-0.0479,0.1794
0.6984,-0.0494,0.1936
0.6857,-0.0548,0.2009
0.6691,-0.0626,0.2132
0.655,-0.0685,0.2171
0.6374,-0.0665,0.219
0.6217,-0.0748,0.2195
0.6051,-0.0763,0.2195
0.587,-0.0748,0.2171
0.5641,-0.0768,0.2107
0.5533,-0.0797,0.2053
0.5387,-0.0792,0.1911
0.523,-0.0792,0.1833
0.5127,-0.0797,0.1706
0.5025,-0.0783,0.1584
0.4908,-0.0753,0.1447
0.483,-0.0724,0.1311
0.4747,-0.066,0.113
0.4712,-0.0646,0.1007
0.4693,-0.0582,0.0895
0.4678,-0.0508,0.0748
0.4766,-0.0382,0.0636
0.5963,0.0229,0.0983
0.6379,0.0859,0.1291
0.5836,0.0645,0.069
0.569,0.0395,0.0333
0.569,0.0244,0.0055
0.5597,0.0175,-0.0175
0.5538,0.0146,-0.041
0.5489,0.0136,-0.0507
0.5485,0.0112,-0.0546
0.5636,0.0288,-0.0434
0.5973,0.063,-0.0224
0.6349,0.0816,-0.0053
0.6628,0.0884,-0.0019
0.6896,0.0991,0.0045
0.7106,0.1094,0.0031
0.7243,0.1157,0.0035
0.7409,0.1216,0.0074
0.76,0.1235,0.0133
0.7791,0.1284,0.0192
0.7923,0.1275,0.027
0.8045,0.1318,0.0377
0.8181,0.1328,0.046
0.8294,0.1309,0.0563
0.8357,0.1353,0.0646
0.8411,0.1392,0.0758
0.845,0.1372,0.0856
0.8469,0.1397,0.0895
0.8455,0.1431,0.0929
0.8474,0.148,0.1041
0.8411,0.1538,0.1046
0.8377,0.1602,0.1062
0.8347,0.1582,0.1174
0.8245,0.1602,0.1218
0.8147,0.168,0.1228
0.805,0.1724,0.1301
0.7962,0.169,0.1384
0.7815,0.1705,0.1428
0.7654,0.1759,0.1477
0.7522,0.172,0.1545
0.739,0.1646,0.156
0.7243,0.1646,0.1623
0.7062,0.1563,0.1687
0.6921,0.1489,0.1691
0.6735,0.1431,0.1701
0.6613,0.1358,0.1735
0.6447,0.126,0.176
0.6315,0.1187,0.1809
0.6198,0.1094,0.1853
0.608,0.103,0.1911
0.5997,0.0884,0.2014
0.5909,0.0801,0.1994
0.5875,0.0723,0.2072
0.5905,0.063,0.2151
0.5865,0.0606,0.2156
0.5924,0.0581,0.2263
0.5948,0.0566,0.2263
0.6022,0.0576,0.2283
0.609,0.0649,0.2283
0.6163,0.0684,0.2351
0.631,0.0786,0.2366
0.6467,0.0947,0.2425
0.6584,0.1074,0.2464
0.6726,0.1216,0.2444
0.6882,0.1397,0.2469
0.6984,0.1612,0.2498
0.7116,0.1827,0.2532
0.7189,0.2066,0.2595
0.7331,0.2301,0.262
0.7454,0.2467,0.2664
0.7527,0.2638,0.2722
0.761,0.2809,0.2752
0.7688,0.2902,0.2766
0.7761,0.3053,0.2747
0.7776,0.3166,0.2664
0.7752,0.3224,0.2566
0.7761,0.3263,0.2469
0.7761,0.3351,0.2317
0.78,0.3341,0.2141
0.7903,0.3239,0.1916
0.7918,0.3214,0.1691
0.7981,0.3087,0.1394
0.8059,0.3014,0.1081
0.8118,0.2917,0.0729
0.8206,0.2765,0.0358
