accx,accy,accz
0.9132,-0.129,-0.3872
0.9176,-0.1241,-0.3884
0.9223,-0.116,-0.388
0.9267,-0.1121,-0.3848
0.9281,-0.1104,-0.3728
0.9293,-0.1124,-0.3608
0.9328,-0.1136,-0.3464
0.9345,-0.12,-0.3154
0.9333,-0.1263,-0.288
0.9271,-0.1334,-0.2587
0.9108,-0.1437,-0.2306
0.8949,-0.1593,-0.206
0.8805,-0.1695,-0.1891
0.8622,-0.181,-0.1747
0.8504,-0.1891,-0.1649
0.838,-0.1945,-0.1556
0.824,-0.194,-0.1542
0.803,-0.1923,-0.1502
0.7886,-0.1915,-0.1485
0.7776,-0.1908,-0.1476
0.7705,-0.1906,-0.1385
0.7674,-0.1881,-0.1336
0.7652,-0.1886,-0.1273
0.7661,-0.1879,-0.1204
0.7715,-0.1835,-0.1136
0.7786,-0.1788,-0.1102
0.7913,-0.1744,-0.1107
0.8033,-0.1683,-0.109
0.814,-0.1649,-0.1141
0.8282,-0.1603,-0.119
0.8353,-0.1561,-0.1266
0.8402,-0.1498,-0.1371
0.8451,-0.1473,-0.151
0.846,-0.1405,-0.1652
0.8389,-0.1351,-0.1761
0.8306,-0.128,-0.1791
0.8233,-0.1214,-0.1783
0.8131,-0.1143,-0.1713
0.8087,-0.1102,-0.1639
0.8021,-0.1065,-0.1515
0.8033,-0.1036,-0.139
0.8082,-0.1024,-0.1236
0.8162,-0.1009,-0.1109
0.825,-0.1011,-0.0945
0.835,-0.1048,-0.0801
0.8416,-0.1104,-0.0674
0.8519,-0.1146,-0.0518
0.8607,-0.1163,-0.0425
0.8612,-0.1151,-0.0335
0.8597,-0.1156,-0.0276
0.857,-0.1151,-0.0191
0.8534,-0.1151,-0.0161
0.8482,-0.1153,-0.0159
0.8426,-0.1182,-0.0164
0.8392,-0.1197,-0.0161
0.8375,-0.1239,-0.0122
0.8414,-0.1244,-0.0115
0.8477,-0.1273,-0.0081
0.8575,-0.1292,-0.0024
0.8795,-0.1314,0.0037
0.8968,-0.1331,0.01
0.9135,-0.1314,0.0183
0.9318,-0.1329,0.0274
0.9574,-0.1322,0.0371
0.9784,-0.1314,0.0413
0.9968,-0.1302,0.0418
1.0139,-0.1297,0.0403
1.0236,-0.1285,0.0283
1.0305,-0.1231,0.0188
1.039,-0.1178,0.0061
1.0476,-0.1094,-0.0105
1.0471,-0.0985,-0.0247
1.0456,-0.0811,-0.045
1.0471,-0.066,-0.053
1.052,-0.0523,-0.0603
1.0591,-0.0384,-0.0584
1.0779,-0.0279,-0.0472
1.1023,-0.0252,-0.0327
1.1292,-0.0232,-0.0178
1.1541,-0.0252,0.0002
1.1802,-0.0276,0.0235
1.201,-0.0386,0.0371
1.2137,-0.0518,0.0464
1.2245,-0.0682,0.052
1.233,-0.0855,0.0557
1.2421,-0.1048,0.0596
1.2494,-0.1168,0.0574
1.2496,-0.1283,0.0564
1.2486,-0.1363,0.053
1.2489,-0.1437,0.0506
1.2477,-0.1488,0.0469
1.2508,-0.1512,0.0388
1.2557,-0.1561,0.0296
1.2592,-0.1681,0.0066
1.2198,-0.1534,-0.0344
1.2064,-0.1356,-0.0755
1.2144,-0.1287,-0.1226
1.2169,-0.1175,-0.173
1.2386,-0.0904,-0.2245
1.2802,-0.074,-0.2526
1.3158,-0.0589,-0.2636
1.3327,-0.0437,-0.256
1.3205,-0.0227,-0.2397
1.3349,-0.0095,-0.2245
1.3652,-0.0012,-0.2116
1.3938,0.0007,-0.2121
1.4277,-0.0022,-0.2216
1.4729,-0.0151,-0.2392
1.5047,-0.0276,-0.2563
1.5286,-0.0403,-0.2729
1.5347,-0.0562,-0.2912
1.4969,-0.0794,-0.3083
1.4348,-0.1038,-0.3276
1.3564,-0.1336,-0.3452
1.2782,-0.1571,-0.3638
1.2118,-0.1732,-0.3711
1.137,-0.1857,-0.3635
1.0903,-0.1915,-0.345
1.0544,-0.1918,-0.3193
1.0256,-0.1874,-0.2893
0.996,-0.1761,-0.245
0.9745,-0.1625,-0.2152
0.9533,-0.1478,-0.1854
0.9313,-0.1319,-0.1634
0.9066,-0.1192,-0.1459
0.8888,-0.1068,-0.138
0.8773,-0.0985,-0.1424
0.8697,-0.0901,-0.1551
0.867,-0.0865,-0.1788
0.8705,-0.086,-0.1996
0.8724,-0.0901,-0.2238
0.8724,-0.095,-0.2441
0.8717,-0.1038,-0.2643
0.8761,-0.1148,-0.2888
0.8824,-0.1229,-0.3039
0.8915,-0.1292,-0.312
0.9052,-0.1351,-0.3174
0.9276,-0.1378,-0.3161
0.9367,-0.1366,-0.3178
0.9425,-0.1327,-0.3164
0.9457,-0.1314,-0.3166
0.9384,-0.1266,-0.3174
0.9271,-0.12,-0.3156
0.9159,-0.1148,-0.3142
0.9017,-0.1068,-0.309
0.8866,-0.0999,-0.3037
0.8688,-0.0916,-0.2905
0.8539,-0.0884,-0.2744
0.8411,-0.0862,-0.2514
0.8304,-0.0845,-0.2265
0.8128,-0.0836,-0.193
0.8016,-0.0831,-0.1654
0.7928,-0.0816,-0.1378
0.7854,-0.0772,-0.1129
0.7862,-0.0704,-0.096
0.7869,-0.0618,-0.0875
0.7869,-0.0594,-0.0877
0.7813,-0.0547,-0.0972
0.7686,-0.0523,-0.1141
0.75,-0.0515,-0.1361
0.7371,-0.0518,-0.1549
0.7271,-0.0528,-0.1713
0.7195,-0.0508,-0.1825
0.7173,-0.0525,-0.1925
0.7217,-0.0584,-0.1906
0.7251,-0.0655,-0.1791
0.7285,-0.0743,-0.1661
0.7334,-0.0838,-0.1449
0.7471,-0.0999,-0.1285
0.7576,-0.1104,-0.1178
0.7705,-0.1192,-0.1065
0.781,-0.1253,-0.097
0.7952,-0.1327,-0.0867
0.8052,-0.1388,-0.0762
0.8153,-0.1437,-0.065
0.817,-0.1466,-0.0484
0.8182,-0.1502,-0.0242
0.8196,-0.1532,-0.0093
0.8148,-0.1576,0.0064
0.8182,-0.1588,0.0205
0.8443,-0.1539,0.0283
0.8666,-0.1419,0.0393
0.8981,-0.1324,0.0274
0.9025,-0.1287,0.0293
0.8895,-0.1309,0.0366
0.8587,-0.1432,0.0447
0.8372,-0.1595,0.0467
0.8179,-0.1725,0.0484
0.8069,-0.1849,0.055
0.7974,-0.2001,0.0599
0.7923,-0.2079,0.0574
0.7916,-0.2152,0.054
0.7974,-0.2206,0.0462
0.8126,-0.2209,0.0376
0.8455,-0.2199,0.0257
0.8768,-0.2128,0.0137
0.9069,-0.2072,0.0083
0.9296,-0.1996,0.0042
0.9462,-0.1915,0.002
0.9543,-0.1864,-0.0007
0.9569,-0.184,0.0005
0.9521,-0.1849,0.0022
0.9438,-0.1876,0.0103
0.932,-0.1896,0.0237
0.9245,-0.1964,0.0418
0.9205,-0.2055,0.0645
0.9264,-0.2177,0.0989
0.9186,-0.2299,0.1297
0.9174,-0.2421,0.159
0.923,-0.2529,0.1915
0.9271,-0.2631,0.2172
0.9394,-0.2744,0.2382
0.9528,-0.2841,0.2485
0.9733,-0.2878,0.2497
1.0046,-0.2875,0.2372
1.0503,-0.28,0.2125
1.082,-0.2687,0.1862
1.1104,-0.2533,0.1605
1.1421,-0.2314,0.1302
1.1773,-0.2035,0.0897
1.2298,-0.1757,0.0621
1.2638,-0.1544,0.0342
1.2848,-0.1322,0.0049
1.3112,-0.1075,-0.02
1.3364,-0.0809,-0.0393
1.3498,-0.0643,-0.0462
1.3579,-0.0545,-0.043
1.3554,-0.0535,-0.0318
1.3432,-0.0616,-0.0107
1.3354,-0.0684,0.0151
1.328,-0.0772,0.042
1.3305,-0.084,0.0726
1.341,-0.0899,0.095
1.3593,-0.0989,0.1055
1.3718,-0.1051,0.1168
1.385,-0.0989,0.1212
1.4072,-0.0901,0.1197
1.4473,-0.12,0.0777
1.4541,-0.1564,0.0191
1.4292,-0.1986,-0.0452
1.3967,-0.2453,-0.1092
1.3618,-0.322,-0.1793
1.3774,-0.3965,-0.2265
1.3867,-0.4608,-0.245
1.3908,-0.4996,-0.2301
1.4118,-0.5145,-0.1717
1.458,-0.5204,-0.0645
1.491,-0.5177,0.0208
1.5093,-0.506,0.0794
1.5272,-0.4879,0.1002
1.5372,-0.4559,0.0865
1.5135,-0.4314,0.055
1.4639,-0.4102,0.0071
1.3921,-0.384,-0.0528
1.2865,-0.3418,-0.1305
1.2015,-0.3059,-0.1859
1.1157,-0.2707,-0.2267
1.0332,-0.2404,-0.2587
0.9579,-0.2096,-0.2778
0.8739,-0.1801,-0.2946
0.8165,-0.1605,-0.3037
0.7815,-0.1437,-0.311
0.7637,-0.1295,-0.3249
0.7422,-0.1224,-0.3564
0.7349,-0.1197,-0.399
0.7422,-0.1192,-0.4505
0.7549,-0.1168,-0.4999
0.7725,-0.1158,-0.5619
0.8016,-0.1134,-0.6086
0.8228,-0.1063,-0.6428
0.8485,-0.0955,-0.6628
0.8692,-0.0821,-0.6606
0.8773,-0.0677,-0.6264
0.871,-0.0569,-0.578
0.8604,-0.0569,-0.5148
0.8433,-0.0577,-0.4356
0.8289,-0.063,-0.3301
0.8221,-0.0704,-0.2277
