accx,accy,accz
1.169,0.1338,-0.2892
1.171,0.1304,-0.2628
1.1695,0.1289,-0.2418
1.1616,0.1255,-0.2183
1.1519,0.1177,-0.1934
1.1465,0.1167,-0.1719
1.1377,0.1118,-0.1489
1.1279,0.103,-0.1294
1.1211,0.1001,-0.1104
1.1142,0.0972,-0.0966
1.1064,0.0913,-0.0839
1.0947,0.082,-0.0727
1.0859,0.0772,-0.0644
1.0718,0.0723,-0.0654
1.06,0.0645,-0.0654
1.0488,0.0591,-0.0585
1.0405,0.0542,-0.061
1.0287,0.0483,-0.0664
1.0082,0.04,-0.0678
0.9916,0.0336,-0.0742
0.9755,0.0312,-0.0815
0.9638,0.0219,-0.0913
0.9476,0.0141,-0.1044
0.9247,0.0097,-0.1152
0.9032,0.0029,-0.127
0.8861,-0.0045,-0.1309
0.8578,-0.0167,-0.1392
0.8377,-0.0206,-0.1514
0.8201,-0.0245,-0.1563
0.8001,-0.0279,-0.1572
0.7766,-0.0323,-0.1572
0.7595,-0.0352,-0.1607
0.7429,-0.0406,-0.1553
0.7243,-0.0425,-0.1519
0.7097,-0.0445,-0.1465
0.6931,-0.0484,-0.1387
0.6769,-0.0455,-0.1299
0.6628,-0.0479,-0.1216
0.6437,-0.0499,-0.1084
0.6241,-0.0484,-0.0996
0.6095,-0.0494,-0.081
0.5865,-0.0538,-0.0707
0.5724,-0.0523,-0.059
0.5587,-0.0553,-0.0497
0.5353,-0.0518,-0.0405
0.522,-0.0513,-0.0248
0.5074,-0.0523,-0.0102
0.4878,-0.0523,0.0006
0.4747,-0.0508,0.0138
0.4595,-0.0513,0.026
0.4522,-0.0523,0.0367
0.439,-0.0504,0.0436
0.4292,-0.0455,0.0529
0.4194,-0.0377,0.0646
0.4228,-0.0357,0.0739
0.4288,-0.0362,0.0817
0.4322,-0.0347,0.087
0.4405,-0.0294,0.087
0.4541,-0.0294,0.0895
0.4742,-0.0269,0.088
0.4937,-0.0269,0.0831
0.5196,-0.022,0.0807
0.5499,-0.023,0.0758
0.5773,-0.0186,0.0646
0.5988,-0.0162,0.0524
0.6271,-0.0172,0.0372
0.6535,-0.0157,0.027
0.6809,-0.0137,0.0153
0.7043,-0.0113,-0.0004
0.7248,-0.0069,-0.0136
0.7468,-0.0074,-0.0327
0.7639,0.0038,-0.0493
0.7937,0.0068,-0.0581
0.8103,0.0097,-0.0673
0.8303,0.0117,-0.0786
0.8548,0.0112,-0.0888
0.8797,0.0161,-0.101
0.9046,0.018,-0.1143
0.9281,0.0219,-0.1221
0.9565,0.0234,-0.1294
0.9858,0.0253,-0.1406
1.0053,0.0239,-0.1465
1.0346,0.0253,-0.1465
1.061,0.0195,-0.1494
1.0806,0.017,-0.1548
1.103,0.0165,-0.1582
1.1255,0.019,-0.1553
1.1465,0.017,-0.1524
1.1719,0.0151,-0.1436
1.1866,0.0082,-0.1367
1.2032,0.019,-0.1318
1.2305,0.0209,-0.1172
1.2579,0.0102,-0.1049
1.275,0.0009,-0.0971
1.2902,-0.003,-0.0922
1.3068,-0.0049,-0.082
1.3195,-0.0059,-0.0766
1.3336,-0.0108,-0.0698
1.3458,-0.0152,-0.0644
1.3507,-0.0132,-0.0605
1.36,-0.0128,-0.0556
1.3673,-0.0191,-0.0497
1.3811,-0.0245,-0.039
1.3806,-0.0264,-0.0371
1.384,-0.0318,-0.0336
1.3879,-0.0367,-0.0258
1.3899,-0.0474,-0.0234
1.3967,-0.0573,-0.0209
1.3977,-0.0641,-0.0156
1.3957,-0.0704,-0.0141
1.3972,-0.0743,-0.0107
1.3889,-0.0846,-0.0092
1.382,-0.0817,-0.0058
1.3776,-0.0831,-0.0043
1.379,-0.0856,0.0001
1.384,-0.0827,0.0001
1.3771,-0.089,0.0094
1.3776,-0.0861,0.0118
1.3722,-0.0914,0.0074
1.36,-0.09,0.0074
1.3419,-0.0934,0.0055
1.3248,-0.0953,0.0001
1.3097,-0.0949,-0.0048
1.2936,-0.0934,-0.0087
1.2711,-0.091,-0.0117
1.2462,-0.0856,-0.0224
1.2281,-0.0831,-0.02
1.2095,-0.0792,-0.0209
1.1895,-0.0695,-0.0273
1.171,-0.0636,-0.0317
1.1543,-0.0499,-0.04
1.1396,-0.0338,-0.0493
1.126,-0.0201,-0.0624
1.1113,-0.0069,-0.0771
1.0996,-0.0093,-0.1
1.084,-0.0181,-0.1172
1.0703,-0.0235,-0.1382
1.0478,-0.0342,-0.1572
1.0268,-0.0377,-0.1787
1.0063,-0.0425,-0.1939
0.9858,-0.0401,-0.2051
0.9696,-0.044,-0.2149
0.9599,-0.0489,-0.2242
0.9496,-0.0528,-0.2354
0.9525,-0.0729,-0.2476
0.9652,-0.0963,-0.2672
0.9779,-0.1339,-0.2911
0.9916,-0.1711,-0.3126
1.0112,-0.2058,-0.338
1.0258,-0.2478,-0.3639
1.0395,-0.2874,-0.3879
1.0468,-0.3211,-0.4113
1.059,-0.3406,-0.4255
1.0806,-0.3553,-0.4265
1.1059,-0.367,-0.423
1.1431,-0.3621,-0.4084
1.2017,-0.3489,-0.3786
1.2711,-0.3406,-0.3498
1.3375,-0.3162,-0.3254
1.3977,-0.282,-0.3038
1.4548,-0.2395,-0.294
1.5032,-0.1931,-0.2901
1.5442,-0.1515,-0.294
1.5769,-0.1149,-0.3043
1.6156,-0.0719,-0.3121
1.6463,-0.0313,-0.3258
1.6683,0.017,-0.3439
1.681,0.0693,-0.36
1.6977,0.1255,-0.3815
1.7026,0.1685,-0.3898
1.7045,0.2232,-0.4069
1.6996,0.2692,-0.4284
1.6869,0.3122,-0.4524
1.6483,0.3512,-0.4866
1.5413,0.3029,-0.5848
1.5374,0.2995,-0.6024
1.5301,0.3341,-0.5887
1.4973,0.3752,-0.6111
1.4519,0.4138,-0.6292
1.4138,0.4397,-0.6444
1.3688,0.4558,-0.6527
1.3253,0.4636,-0.6566
1.2814,0.4607,-0.6596
1.2242,0.4617,-0.66
1.1533,0.4661,-0.661
1.0835,0.4641,-0.6571
1.0087,0.4563,-0.6498
0.9515,0.4338,-0.6297
0.9012,0.4123,-0.6033
0.8524,0.3982,-0.5799
0.8079,0.3796,-0.5472
0.7727,0.3659,-0.5085
0.739,0.3463,-0.4675
0.7087,0.3302,-0.4235
0.6833,0.3161,-0.38
0.6628,0.297,-0.3341
0.6491,0.2804,-0.2872
0.6359,0.2603,-0.2364
0.6315,0.2403,-0.1861
0.6295,0.2218,-0.1338
0.6324,0.2013,-0.0854
0.6389,0.1798,-0.0444
0.6476,0.1548,-0.0082
0.655,0.1333,0.0211
0.6623,0.1099,0.049
0.6706,0.0899,0.0753
0.6789,0.0659,0.0905
0.6804,0.0385,0.1071
0.6745,0.019,0.1174
0.6667,-0.004,0.1135
0.6516,-0.0074,0.1032
